,view_rate,date,start time,finish time
세상에서 제일 예쁜 내 딸,24.75,20190601,,에러
KBS 뉴스 9,8.7,20190601,밤9시, 10시매주 주말 밤 9시 
정글의 법칙,8.65,20190601,밤9:00, 10:00
아스달 연대기,7.736,20190601,밤9시, 10시 55분
전지적 참견 시점,6.9,20190601,밤11:10, 12:50
녹두꽃 (드라마),6.9,20190601,밤10:00, 11:10
나 혼자 산다,6.9,20190601,밤11:10, 12:50
그것이 알고싶다,6.8,20190601,밤11:00, 12:30
김영철의 동네 한 바퀴,6.6,20190601,저녁7:10, 8:00
불후의 명곡,6.4,20190601,매주 일요일 오후 5시 30분,에러
세상에서 제일 예쁜 내 딸,29.1,20190602,,에러
미운 우리 새끼,21.066666666666666,20190602,밤9:05, 11:05
슈퍼맨이 돌아왔다,11.5,20190602,오후9:15, 11:10
TV 동물농장,9.15,20190602,일요일오전, 10:50
전국노래자랑,9.0,20190602,일요일낮, 1:20
KBS 뉴스 9,8.5,20190602,밤9시, 10시매주 주말 밤 9시 
KBS 뉴스 12,7.9,20190602,낮12시, 오후 1시
구해줘! 홈즈,7.5,20190602,밤10:35, 12:15
미스터리 음악쇼 복면가왕,7.3,20190602,저녁6:15, 7:55
SBS 8 뉴스,7.3,20190602,매주월요일, 목요일 밤 7:50 
여름아 부탁해,14.5,20190603,저녁8:30, 9:00
KBS 뉴스 9,12.6,20190603,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),9.9,20190603,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,9.4,20190603,아침7:50, 8:25
아침마당,8.1,20190603,8시25분, 오전 9시 30분
가요무대,7.8,20190603,밤10:00, 10:50
우리말 겨루기,7.5,20190603,저녁7:40, 8:25
생활의 달인,7.1,20190603,밤8:55, 9:40
용왕님 보우하사,6.8,20190603,저녁7:10, 7:55 [1회
KBS 뉴스광장,6.4,20190603,매주월요일, 토요일 아침 6시 
여름아 부탁해,12.9,20190604,저녁8:30, 9:00
KBS 뉴스 9,10.8,20190604,밤9시, 10시매주 주말 밤 9시 
인간극장,9.2,20190604,아침7:50, 8:25
태양의 계절 (드라마),8.8,20190604,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
아침마당,7.2,20190604,8시25분, 오전 9시 30분
퍼퓸 (드라마),7.05,20190604,밤10:00, 11:10
불타는 청춘 (텔레비전 프로그램),6.35,20190604,밤10:40, 12:00
검법남녀 2,6.3,20190604,밤8:55, 10:05
KBS 뉴스 7,6.1,20190604,저녁7시, 7시 40분
KBS 뉴스광장,6.0,20190604,매주월요일, 토요일 아침 6시 
여름아 부탁해,13.6,20190605,저녁8:30, 9:00
KBS 뉴스 9,10.5,20190605,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),8.7,20190605,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,8.6,20190605,아침7:50, 8:25
아침마당,7.8,20190605,8시25분, 오전 9시 30분
백종원의 골목식당,7.6000000000000005,20190605,밤10:35,
"단, 하나의 사랑",7.6000000000000005,20190605,밤10시, 11시 10분
살림하는 남자들,7.1,20190605,밤9:15, 10:30
봄밤,6.7,20190605,8시55분," 10시 5분  매주 월, 화 밤 10시"
생로병사의 비밀,6.5,20190605,밤10:00, 10:50
여름아 부탁해,15.0,20190606,저녁8:30, 9:00
KBS 뉴스 9,10.2,20190606,밤9시, 10시매주 주말 밤 9시 
순간포착 세상에 이런일이,9.65,20190606,밤8:55, 9:40
태양의 계절 (드라마),9.2,20190606,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
한국인의 밥상,9.0,20190606,,에러
봄밤,8.9,20190606,8시55분," 10시 5분  매주 월, 화 밤 10시"
"단, 하나의 사랑",8.7,20190606,밤10시, 11시 10분
KBS 뉴스 7,7.9,20190606,저녁7시, 7시 40분
SBS 8 뉴스,7.7,20190606,매주월요일, 목요일 밤 7:50 
용왕님 보우하사,7.2,20190606,저녁7:10, 7:55 [1회
여름아 부탁해,14.4,20190607,저녁8:30, 9:00
대한민국 축구 국가대표팀,13.3,20190607,,에러
KBS 뉴스 9,9.7,20190607,밤9시, 10시매주 주말 밤 9시 
인간극장,9.3,20190607,아침7:50, 8:25
나 혼자 산다,9.149999999999999,20190607,밤11:10, 12:50
