,view_rate,date,start time,finish time
여름아 부탁해,17.1,20190801,저녁8:30, 9:00
KBS 뉴스 9,10.0,20190801,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),9.1,20190801,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
순간포착 세상에 이런일이,8.1,20190801,밤8:55, 9:40
인간극장,8.0,20190801,아침7:50, 8:25
송가인이 간다,7.214,20190801,에러,에러
아침마당,6.9,20190801,8시25분, 오전 9시 30분
KBS 뉴스 7,6.6,20190801,저녁7시, 7시 40분
글로벌 다큐멘터리,6.4,20190801,밤10:35, 11:25
KBS 930 뉴스,6.4,20190801,9시30분, 10시  매주 토요일 오전 9시 30분 
여름아 부탁해,15.9,20190802,저녁8:30, 9:00
KBS 뉴스 9,14.7,20190802,밤9시, 10시매주 주말 밤 9시 
의사요한,10.4,20190802,밤10:00, 11:10
나 혼자 산다,9.9,20190802,밤11:10, 12:50
태양의 계절 (드라마),9.5,20190802,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
궁금한 이야기 Y,8.9,20190802,저녁8:55, 9:55
아침마당,6.9,20190802,8시25분, 오전 9시 30분
SBS 8 뉴스,6.8,20190802,매주월요일, 목요일 밤 7:50 
인간극장,6.3,20190802,아침7:50, 8:25
JTBC 뉴스룸,6.057,20190802,,에러
세상에서 제일 예쁜 내 딸,22.75,20190803,,에러
의사요한,8.899999999999999,20190803,밤10:00, 11:10
호텔 델루나,8.772,20190803,9시10분, 10시 40분
KBS 뉴스 9,8.4,20190803,밤9시, 10시매주 주말 밤 9시 
정글의 법칙,7.3,20190803,밤9:00, 10:00
황금정원,6.725,20190803,밤9:05, 11:05
불후의 명곡,6.5,20190803,매주 일요일 오후 5시 30분,에러
전지적 참견 시점,6.2,20190803,밤11:10, 12:50
시니어토크쇼 황금연못,6.1,20190803,,에러
야생여정,5.8,20190803,오전11:30, 12:00
세상에서 제일 예쁜 내 딸,26.8,20190804,,에러
미운 우리 새끼,15.633333333333331,20190804,밤9:05, 11:05
슈퍼맨이 돌아왔다,11.899999999999999,20190804,오후9:15, 11:10
KBS 뉴스 9,10.7,20190804,밤9시, 10시매주 주말 밤 9시 
전국노래자랑,9.3,20190804,일요일낮, 1:20
TV 동물농장,8.9,20190804,일요일오전, 10:50
KBS 뉴스 12,8.1,20190804,낮12시, 오후 1시
집사부일체,7.2,20190804,저녁6:25, 7:55
KBS 뉴스특보,7.1,20190804,,에러
구해줘! 홈즈,7.0,20190804,밤10:35, 12:15
여름아 부탁해,17.2,20190805,저녁8:30, 9:00
KBS 뉴스 9,12.1,20190805,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),9.6,20190805,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,7.6,20190805,아침7:50, 8:25
JTBC 뉴스룸,7.432,20190805,,에러
가요무대,7.1,20190805,밤10:00, 10:50
KBS 뉴스 7,6.8,20190805,저녁7시, 7시 40분
동상이몽 2,6.300000000000001,20190805,밤10:40, 12:00
SBS 8 뉴스,6.3,20190805,매주월요일, 목요일 밤 7:50 
웰컴2라이프,6.05,20190805,밤8:55, 10:05
여름아 부탁해,19.3,20190806,저녁8:30, 9:00
KBS 뉴스 9,13.4,20190806,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),10.2,20190806,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,8.5,20190806,아침7:50, 8:25
불타는 청춘 (텔레비전 프로그램),8.350000000000001,20190806,밤10:40, 12:00
JTBC 뉴스룸,6.915,20190806,,에러
휴먼다큐 사람이 좋다,6.7,20190806,오전8:05, 9:00
KBS 뉴스특보,6.6,20190806,,에러
아내의 맛,6.536,20190806,밤10시, 12시
아침마당,6.5,20190806,8시25분, 오전 9시 30분
여름아 부탁해,17.1,20190807,저녁8:30, 9:00
KBS 뉴스 9,11.8,20190807,밤9시, 10시매주 주말 밤 9시 
아침마당,10.2,20190807,8시25분, 오전 9시 30분
태양의 계절 (드라마),10.0,20190807,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,9.9,20190807,아침7:50, 8:25
백종원의 골목식당,9.75,20190807,밤10:35,
살림하는 남자들,8.0,20190807,밤9:15, 10:30
KBS 930 뉴스,7.1,20190807,9시30분, 10시  매주 토요일 오전 9시 30분 
JTBC 뉴스룸,7.06,20190807,,에러
생로병사의 비밀,6.9,20190807,밤10:00, 10:50
여름아 부탁해,12.0,20190808,저녁8:30, 9:00
태양의 계절 (드라마),10.7,20190808,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.0,20190808,밤9시, 10시매주 주말 밤 9시 
순간포착 세상에 이런일이,8.8,20190808,밤8:55, 9:40
인간극장,7.9,20190808,아침7:50, 8:25
KBS 스페셜,6.8,20190808,,에러
KBS 뉴스 7,6.6,20190808,저녁7시, 7시 40분
JTBC 뉴스룸,6.573,20190808,,에러
윤호 (성우),6.5,20190808,,에러
SBS 8 뉴스,6.3,20190808,매주월요일, 목요일 밤 7:50 
여름아 부탁해,18.9,20190809,저녁8:30, 9:00
KBS 뉴스 9,11.8,20190809,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),10.7,20190809,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
