,view_rate,date,start time,finish time
세상에서 제일 예쁜 내 딸,29.450000000000003,20190901,,에러
미운 우리 새끼,16.7,20190901,밤9:05, 11:05
슈퍼맨이 돌아왔다,12.6,20190901,오후9:15, 11:10
KBS 뉴스 9,9.8,20190901,밤9시, 10시매주 주말 밤 9시 
전국노래자랑,9.4,20190901,일요일낮, 1:20
KBS 뉴스 12,8.5,20190901,낮12시, 오후 1시
TV 동물농장,8.5,20190901,일요일오전, 10:50
호텔 델루나,8.1015,20190901,9시10분, 10시 40분
미스터리 음악쇼 복면가왕,7.5,20190901,저녁6:15, 7:55
사장님 귀는 당나귀 귀,7.5,20190901,오후5:00, 6:30
여름아 부탁해,20.5,20190902,저녁8:30, 9:00
태양의 계절 (드라마),13.0,20190902,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.8,20190902,밤9시, 10시매주 주말 밤 9시 
인간극장,9.0,20190902,아침7:50, 8:25
KBS 뉴스 7,9.0,20190902,저녁7시, 7시 40분
우리말 겨루기,7.4,20190902,저녁7:40, 8:25
가요무대,7.3,20190902,밤10:00, 10:50
생활의 달인,7.1,20190902,밤8:55, 9:40
아침마당,6.6,20190902,8시25분, 오전 9시 30분
6시 내고향,6.3,20190902,저녁6시, 7시
여름아 부탁해,20.4,20190903,저녁8:30, 9:00
태양의 계절 (드라마),12.5,20190903,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,11.4,20190903,밤9시, 10시매주 주말 밤 9시 
인간극장,7.9,20190903,아침7:50, 8:25
KBS 뉴스 7,7.0,20190903,저녁7시, 7시 40분
JTBC 뉴스룸,6.744,20190903,,에러
아내의 맛,6.527,20190903,밤10시, 12시
아침마당,6.5,20190903,8시25분, 오전 9시 30분
불타는 청춘 (텔레비전 프로그램),6.35,20190903,밤10:40, 12:00
6시 내고향,6.1,20190903,저녁6시, 7시
여름아 부탁해,21.5,20190904,저녁8:30, 9:00
태양의 계절 (드라마),13.1,20190904,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.1,20190904,밤9시, 10시매주 주말 밤 9시 
아침마당,8.7,20190904,8시25분, 오전 9시 30분
인간극장,8.5,20190904,아침7:50, 8:25
살림하는 남자들,8.1,20190904,밤9:15, 10:30
KBS 뉴스 7,7.5,20190904,저녁7시, 7시 40분
수상한 장모,7.1,20190904,아침8:35, 9:10
KBS 뉴스광장,7.1,20190904,매주월요일, 토요일 아침 6시 
다큐멘터리 3일,6.9,20190904,,에러
태양의 계절 (드라마),13.3,20190905,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
여름아 부탁해,12.7,20190905,저녁8:30, 9:00
KBS 뉴스 9,12.7,20190905,밤9시, 10시매주 주말 밤 9시 
인간극장,8.7,20190905,아침7:50, 8:25
순간포착 세상에 이런일이,8.55,20190905,밤8:55, 9:40
한국인의 밥상,7.3,20190905,,에러
KBS 뉴스 7,7.0,20190905,저녁7시, 7시 40분
수상한 장모,6.8,20190905,아침8:35, 9:10
6시 내고향,6.8,20190905,저녁6시, 7시
대한민국 축구 국가대표팀,6.7,20190905,,에러
여름아 부탁해,18.9,20190906,저녁8:30, 9:00
KBS 뉴스 9,13.5,20190906,밤9시, 10시매주 주말 밤 9시 
인간극장,9.1,20190906,아침7:50, 8:25
나 혼자 산다,8.399999999999999,20190906,밤11:10, 12:50
궁금한 이야기 Y,7.95,20190906,저녁8:55, 9:55
의사요한,7.8999999999999995,20190906,밤10:00, 11:10
아침마당,7.8,20190906,8시25분, 오전 9시 30분
SBS 8 뉴스,7.1,20190906,매주월요일, 목요일 밤 7:50 
KBS 뉴스광장,6.9,20190906,매주월요일, 토요일 아침 6시 
6시 내고향,6.4,20190906,저녁6시, 7시
세상에서 제일 예쁜 내 딸,28.9,20190907,,에러
KBS 뉴스 9,9.9,20190907,밤9시, 10시매주 주말 밤 9시 
불후의 명곡,9.7,20190907,매주 일요일 오후 5시 30분,에러
의사요한,9.3,20190907,밤10:00, 11:10
KBS 뉴스광장,8.4,20190907,매주월요일, 토요일 아침 6시 
KBS 뉴스특보,8.35,20190907,,에러
