,view_rate,date,start time,finish time
닥터 프리즈너,13.7,20190501,밤10시, 11시 10분
여름아 부탁해,12.9,20190501,저녁8:30, 9:00
왼손잡이 아내,12.6,20190501,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,9.7,20190501,밤9시, 10시매주 주말 밤 9시 
인간극장,8.7,20190501,아침7:50, 8:25
아침마당,8.6,20190501,8시25분, 오전 9시 30분
살림하는 남자들,7.5,20190501,밤9:15, 10:30
백종원의 골목식당,6.9,20190501,밤10:35,
강남 스캔들,6.5,20190501,,에러
KBS 뉴스 7,6.0,20190501,저녁7시, 7시 40분
내일은 미스트롯,17.756,20190502,,에러
여름아 부탁해,14.2,20190502,저녁8:30, 9:00
내일은 미스트롯,14.08,20190502,,에러
왼손잡이 아내,13.9,20190502,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.2,20190502,밤9시, 10시매주 주말 밤 9시 
인간극장,9.4,20190502,아침7:50, 8:25
순간포착 세상에 이런일이,7.550000000000001,20190502,밤8:55, 9:40
한국인의 밥상,7.2,20190502,,에러
강남 스캔들,7.1,20190502,,에러
용왕님 보우하사,6.8,20190502,저녁7:10, 7:55 [1회
여름아 부탁해,14.7,20190503,저녁8:30, 9:00
왼손잡이 아내,12.9,20190503,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.8,20190503,밤9시, 10시매주 주말 밤 9시 
나 혼자 산다,9.7,20190503,밤11:10, 12:50
녹두꽃 (드라마),8.5,20190503,밤10:00, 11:10
인간극장,8.3,20190503,아침7:50, 8:25
궁금한 이야기 Y,8.0,20190503,저녁8:55, 9:55
TV는 사랑을 싣고,7.8,20190503,오전10:40, 11:50
강남 스캔들,7.4,20190503,,에러
아침마당,6.9,20190503,8시25분, 오전 9시 30분
세상에서 제일 예쁜 내 딸,20.2,20190504,,에러
녹두꽃 (드라마),8.75,20190504,밤10:00, 11:10
불후의 명곡,8.5,20190504,매주 일요일 오후 5시 30분,에러
KBS 뉴스 9,7.8,20190504,밤9시, 10시매주 주말 밤 9시 
정글의 법칙,7.7,20190504,밤9:00, 10:00
전지적 참견 시점,6.95,20190504,밤11:10, 12:50
시니어토크쇼 황금연못,6.9,20190504,,에러
이몽 (드라마),6.333333333333333,20190504,밤9:05, 11:05
걸어서 세계속으로,5.8,20190504,아침9:40, 10:30
노래가 좋아,5.7,20190504,저녁8:30, 9:25
미운 우리 새끼,19.833333333333332,20190505,밤9:05, 11:05
세상에서 제일 예쁜 내 딸,18.633333333333333,20190505,,에러
KBS 뉴스 9,9.2,20190505,밤9시, 10시매주 주말 밤 9시 
TV 동물농장,9.05,20190505,일요일오전, 10:50
슈퍼맨이 돌아왔다,8.3,20190505,오후9:15, 11:10
전국노래자랑,7.8,20190505,일요일낮, 1:20
구해줘! 홈즈,7.1,20190505,밤10:35, 12:15
미스터리 음악쇼 복면가왕,6.9,20190505,저녁6:15, 7:55
KBS 뉴스 12,6.3,20190505,낮12시, 오후 1시
런닝맨 (텔레비전 프로그램),5.9,20190505,오후5:00, 6:25
여름아 부탁해,11.8,20190506,저녁8:30, 9:00
KBS 뉴스 9,11.3,20190506,밤9시, 10시매주 주말 밤 9시 
가요무대,8.9,20190506,밤10:00, 10:50
생활의 달인,8.7,20190506,밤8:55, 9:40
특별근로감독관 조장풍,8.0,20190506,밤10:00, 11:10
인간극장,7.9,20190506,아침7:50, 8:25
살림하는 남자들,7.9,20190506,밤9:15, 10:30
우리말 겨루기,7.8,20190506,저녁7:40, 8:25
SBS 8 뉴스,7.6,20190506,매주월요일, 목요일 밤 7:50 
JTBC 뉴스룸,6.882,20190506,,에러
여름아 부탁해,14.2,20190507,저녁8:30, 9:00
왼손잡이 아내,13.1,20190507,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.5,20190507,밤9시, 10시매주 주말 밤 9시 
인간극장,8.3,20190507,아침7:50, 8:25
특별근로감독관 조장풍,7.6,20190507,밤10:00, 11:10
불타는 청춘 (텔레비전 프로그램),7.5,20190507,밤10:40, 12:00
강남 스캔들,7.4,20190507,,에러
본격연예 한밤,6.85,20190507,밤8:55, 9:55
아침마당,6.6,20190507,8시25분, 오전 9시 30분
